Dst Port,Protocol,Flow Duration,Total Fwd Packet,Total Bwd packets,Total Length of Fwd Packet,Total Length of Bwd Packet,Fwd Packet Length Max,Fwd Packet Length Min,Fwd Packet Length Mean,Fwd Packet Length Std,Bwd Packet Length Max,Bwd Packet Length Min,Bwd Packet Length Mean,Bwd Packet Length Std,Flow Bytes/s,Flow Packets/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Total,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Total,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Fwd Header Length,Bwd Header Length,Fwd Packets/s,Bwd Packets/s,Packet Length Min,Packet Length Max,Packet Length Mean,Packet Length Std,Packet Length Variance,FIN Flag Count,SYN Flag Count,RST Flag Count,PSH Flag Count,ACK Flag Count,URG Flag Count,ECE Flag Count,Down/Up Ratio,Average Packet Size,Fwd Segment Size Avg,Bwd Segment Size Avg,Bwd Bytes/Bulk Avg,Bwd Packet/Bulk Avg,Bwd Bulk Rate Avg,Subflow Fwd Packets,Subflow Fwd Bytes,Subflow Bwd Packets,Subflow Bwd Bytes,FWD Init Win Bytes,Bwd Init Win Bytes,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min
80,6,15298,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,130.7360439,15298.0,0.0,15298,15298,15298,15298.0,0.0,15298,15298,0,0.0,0.0,0,0,0,40,0,130.7360439,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
80,6,5466,2,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0.0,365.8982803,5466.0,0.0,5466,5466,5466,5466.0,0.0,5466,5466,0,0.0,0.0,0,0,0,40,0,365.8982803,0.0,0,0,0.0,0.0,0.0,0,0,0,0,1,0,0,0,0.0,0.0,0.0,0,0,0,2,0,0,0,32738,-1,0,20,0.0,0.0,0,0,0.0,0.0,0,0
20000,6,13360358,20,14,177,772,27,0,8.565236812616666,11.04139935669665,292,0,53.77782637378208,100.16365123010172,71.81142428375213,2.6479057158492654,390483.01764503727,1208060.4347530792,5015742,14,13360192,674631.9006945762,1541618.9081813986,5015742,285,13360316,996436.3950270972,1811970.0137469545,5017482,235,0,671,467,1.563325056222714,1.084580659626551,0,292,26.32728248469453,66.36784721779313,4406.287220248409,2,2,0,18,34,0,0,0,27.078894884706337,8.565236812616666,53.77782637378208,590,9,4228,5,53,3,232,29200,227,8,32,6981460.656883303,0.0,6981460,6981460,5015742.910449475,0.0,5015742,5015742
20000,6,261,2,1,120,0,120,0,60.0,84.8528137423857,0,0,0.0,0.0,458126.2720619044,11453.156801547586,130.968371932762,169.83981400968986,251,10,261,261.936743865524,0.0,261,261,0,0.0,0.0,0,0,0,40,24,7635.437867698398,3817.718933849199,0,120,60.0,69.2820323027551,4800.0,0,2,1,0,2,0,0,0,80.0,60.0,0.0,0,0,0,0,0,0,0,64,29200,0,20,0.0,0.0,0,0,0.0,0.0,0,0
2638,6,9400309,5,0,18,0,18,0,3.6,8.04984471899924,0,0,0.0,0.0,1.9149160648604515,0.531921129127902,2350077.314745757,2725034.578104766,5005128,27,9400309,2350077.314745757,2725034.578104766,5005128,27,0,0.0,0.0,0,0,0,168,0,0.531921129127902,0.0,0,18,3.0,7.34846922834953,54.0,1,1,0,1,4,0,0,0,3.6,3.6,0.0,0,0,0,2,9,0,0,64240,0,1,32,256.3898128379576,0.0,256,256,5005128.903326322,0.0,5005128,5005128
